,제목,링크,내용
10,유행예감 남성골프바지 물건 소ㄱH합니다,https://cafe.naver.com/anioncafe/3830?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImFuaW9uY2FmZSIsImFydGljbGVJZCI6MzgzMCwiaXNzdWVkQXQiOjE2NTQ1Mjc5NjA0NTF9.OKu7g-hINXYw0IKAck6smMI9Xw_aSDZsb1fFS7c_KME,-
11,남녀공용 왕스판 슬림 세미핏 팬츠,https://blog.naver.com/kplusmall/222761753755,"** Detail Point ** 남녀공용 왕스판 슬림 세미핏 팬츠 4컬러배송안내 배송비 : 상품정보를 확인해 주시기 바랍니다. (제주도 / 도서산간지역은 도선료 등 배송비 별도발생할 수 있음)대량주문 : 대량수량 및 중량초과 주문시 결제 택배비용보다 높은 비용이 발생 할 수 있음(판매자가 별도 통보함)배송기간 : 배송기간은 결제하신 날로부터 평균 1~3일 이내에 상품이 준비되어 발송됩니다.(주말, 공휴일 제외)              주문폭주 / 입고지연 되는 상품의 경우에는 예정일보다 3~7일 정도 더 늦어질 수도 있습니다.교환/ 반품안내교환/반품이 불가능한 경우 : 고객님의 과실로 상품이 멸실 또는...plusmall.cc 얇고 시원한 느낌이 드는 스판 밴딩 세미팬츠!허리밴딩과 조절끈으로 편하게 착용가능합니다..슬림하면서도 여름철에도 시원하게 착용하기좋습니다. 양포켓은 실용도가 좋구요. 홈웨어,이제웨어로 착용하기 좋은 밴딩팬츠입니다..-- 제 품 정 보 --   색   상 : 블랙,네이비,베이지,회색.소   재 : 나일론75%, 스판25%.사이즈 : FREE(여성권장),L-XL(남성권장),XL-2XL(남성권장) Size (상세 사이즈 표 확인).세탁법 : 단독 손섹탁, 중성세제, 드라이크리닝 권장 남녀공용 왕스판 슬림 세미핏 팬츠 4컬러배송안내 배송비 : 상품정보를 확인해 주시기 바랍니다. (제주도 / 도서산간지역은 도선료 등 배송비 별도발생할 수 있음)대량주문 : 대량수량 및 중량초과 주문시 결제 택배비용보다 높은 비용이 발생 할 수 있음(판매자가 별도 통보함)배송기간 : 배송기간은 결제하신 날로부터 평균 1~3일 이내에 상품이 준비되어 발송됩니다.(주말, 공휴일 제외)              주문폭주 / 입고지연 되는 상품의 경우에는 예정일보다 3~7일 정도 더 늦어질 수도 있습니다.교환/ 반품안내교환/반품이 불가능한 경우 : 고객님의 과실로 상품이 멸실 또는...plusmall.cc #아이스팬츠 #조거팬츠 #카고바지 #기능성팬츠#밴딩팬츠 #캐주얼룩 #편한바지 #남자쿨팬츠 "
12,"남아여아 키즈 8,130사이즈 리틀그라운드 스텔라맥카트니,아나이스앤아이,일구포,로베르토까발리,블루독,알로봇,베네통 등 판매합니다.",https://cafe.naver.com/joonggonara/921589844?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo5MjE1ODk4NDQsImlzc3VlZEF0IjoxNjU0NTI3OTYwNDUyfQ.0GB9j0R7MvVxAoQjrwbYhlAl4IDpVR-361pvcVwET3s,-
13,1+1 슬랙스 2장 남성용 구김없는 링클프리 히든 옆밴딩 10부 슬랙스 (3716-2.,https://blog.naver.com/ioiuehjsv/222761729015,"​​ ​​1+1 슬랙스 2장 남성용 구김없는 링클프리 히든 옆밴딩 10부   슬랙스 (3716-2)​  74,000원   47%38,800원​  ​​ ​​엠아이유 봄 여름 핏예쁜 인생팬츠! 여성 밴딩팬츠~3XL 키작녀 바지   키큰녀 여자 슬랙스 정장바지 오피스룩 빅사이즈 바지 심플밴딩슬랙스​   16%29,800원​  ​​ ​​빅사이즈클럽 923 핀턱 와이드 슬랙스 정장바지​   19,900원​  ​​ ​​업클라스 여성용 겨울용 기모 본딩 부츠컷 슬랙스   LC03A​   21,900원​  ​​ ​​업클라스 남성용 여름용 9부 린넨 쿨 슬랙스 b072​   21,060원​  ​​ ​​업클라스 남성용 스판 슬랙스 a01​   19,800원​  ​​ ​​엠아이유 봄 여름 여자 슬랙스 ~3XL 빅사이즈 슬랙스 핏예뻐 감탄!   키작녀 바지 키큰녀 정장바지 오피스룩 심플베이직슬랙스​  35,800원   16%29,800원​  ​ "
14,썸머 쿨 스판팬츠❤정말 편하게 올 여름 교복처럼 입으실거에요!!재구매도 정말 많으세요!!오늘 공구 최종...,https://blog.naver.com/kissme_40/222760721235,썸머 쿨 스판팬츠❤정말 편하게 올 여름 교복처럼 입으실거에요!!재구매도 정말 많으세요!!오늘 공구 최종 마감해요!!​​​   https://blog.naver.com/kissme_40/222736053737 썸머 쿨 스판 팬츠❤올 여름 완전 편하게 입을수 있는 썸머 팬츠 데려왔어요!!컬러도 예쁘고 편한 팬츠 쟁여놓으세요!썸머 쿨 스판 팬츠❤올 여름 완전 편하게 입을수 있는 썸머 팬츠 데려왔어요!!컬러도 예쁘고 편한 팬츠 쟁...blog.naver.com ​ 
15,STCO 에스티코 주우재 옷 화보 남자 여름 하객룩 코디의 정석,https://blog.naver.com/forever2131/222761656221,"STCO 22SS SUMMER - RENEW, WORKA new way of work, A new way of wear​안녕하세요 져니입니다ㅎㅎ요즘 날씨가 부쩍 더워지면서 남자 여름 하객 코디를 어떻게 해야하나다들 고민이 많으실텐데요.​마침 이번에 에스티코(STCO)와 주우재님이 자연 속 워크플레이스라는새로운 발상의 컨셉으로 화보가 공개 되면서 딱이다 싶더라구요.제가 너무 팬이라서..어휴 리뷰하면서혼자 심장 쿵쿵 했네요 ㅎㅎㅎㅎㅎㅎㅎ​​ 셔츠, 타이 브랜드에서 시작한 에스티코는 캐주얼룩과 포멀한 출근룩모두를 아우르는 토탈 솔루션 남성 코디네이션 브랜드로 현재 잘 알려져 있는데요.노세일 정책으로 언제사도 합리적인 소비가 가능하다는 점에서최근 패션 추세와도 찰떡인 브랜드 같아요.​ ​남자 여름 하객룩이라면 깔끔한게 국룰!특히 STCO의 브랜드 슬로건인'RENEW, WORK' - 새로운 방식의 일(WORK), 새로운 방식의 웨어(WEAR)를 보면 직장이나 일상 속에서 모든 면이 새로워진 요즘 현실에 딱 맞춘 스타일과 실용성 모두를 갖춘 패션을 추구하더라고요.​​  변화무쌍한 2030 세대의 포멀룩 트렌드를 보면기존 포멀룩과는 다른 다양한 핏을 보실 수 있는데요.에스티코는 이를 새롭게 바뀐 워크웨어인 '리뉴워크'라는 이름으로 부르고 있습니다.​ 이번 화보에서도늘어나는 셋업 수요에 발맞춰 색다른 모습의 착장들을 구경해 보실 수 있다니 정말 대박이죠?ㅎㅎ특히 남성분들 여름 하객룩 어떻게 입으실지고민이 많으신데.. 겨울에는 그냥 수트 입는다고 쳐도여름에는 고민이 많이 되실텐데 요렇게 시티보이룩으로 연출해보시는 것도 좋을듯!  STCO 22SS SUMMER X 주우재 화보는RENEW, WORK를 주제로 자연 속 Work Place라는 엉뚱한 매력을 담고 있는데요. 여름의 청량한 계절감을 자연의 푸릇함으로 나타내어 보는 사람마저 시원해지게 만들어주더라구요 :)일상과 출근룩 어떤 곳에도 잘 어울리는 모습이죠?ㅎㅎ 특히 저는 이 무더운 여름에 입기 딱 좋은 여름 시티보이룩이 눈에 들어오더라구요!캐주얼한듯 미니멀한 코디로 더운 계절에도 스타일을 살리면서데일리로 입을 수 있는 남자코디로 정말 딱이지 않나요?ㅎㅎㅠ 남친룩의 정석인듯!​  STCO S/S 베이지 오버 셋업 자켓 & 셋업SEJTB13OSD119,000원​SEPTB13OSD59,900원​ 진짜 주우재님 남자패션의 정석..요새 2030의 취향저격 스타일인 오버핏 자켓과 와이드한 팬츠, 티셔츠를댄디하면서도 활동성 있게 잘 매치하였는데요. 찌는 듯한 이 날씨에 밖에서 멋도 내면서워크웨어로도 너무 잘 어울린다는 점에서 일석이조가 아닐지..남자오피스룩으로 깔끔하고 센스있는 코디를 원한다면 당장 고려해봐야할듯..​ 다음으로 소개해 드릴 룩은 AWS인데요. 남자 여름 하객룩으로 역시,,AWS는 ACTIVE WORKWEAR SUIT로 직장에서 불편함 없이 입을 수 있는 스판져지로편안함과 신축성을 장착한 기능성 워크웨어 수트입니다. 여름오피스룩으로도 남자하객룩으로도 손색이 없는 AWS는포멀한 감성을 원하시는 분께 적극 추천드립니다ㅎㅎ​액티브 워크웨어 셋업이라는 별칭을 가지고 있는 만큼나는 스타일과 활동성 모두를 잡아야겠다! 하시는 분께 정말 딱이겠죠?ㅎㅎ​ 카라티는 남자여름코디로 꼭 한번쯤 입어야 하는 필수템이죠?ㅎㅎ이번 여름에는 니트 반팔티가 특히 눈에 띄더라구요.하지만 더워서 니트 카라티는 좀 꺼려지신다 하시는 분들께에스티코 쿨 카라 니트와 쿨 카라 티를 추천드려요.​STCO의 쿨 카라 니트는 시원한 나일론 혼방과 실크 라이크 촉감으로니트 특유의 꺼끌한 촉감없이 쿨하게 즐길 수 있답니다!쿨 카라 티도 부드러움과 댄디함을 동시에 잡았다고 하네요!​  STCO S/S 브라운 쿨링 카라 니트 & 베이지 고밀도 코튼혼방 오픈카라 티셔츠브라운 쿨링 카라 니트DKTTB05CSH39,900원​베이지 고밀도 코튼혼방 오픈카라 티셔츠DTSTB22CSD39,900원​ 여름하면 린넨 셔츠도 빠질 수 없죠!ㅎㅎ자연스러운 주름과 툭 걸쳤을 때의 그 시원함이란...ㅎㅎ부드러우면서도 멋스러운 체크 린넨 쳐츠로 2,30대 남자코디를 완성해보는 것은 어떨까요?​  STCO S/S 베이지 코튼린넨 체크 긴팔 셔츠 & 베이지 클래식핏 린넨 셔츠​DDSTB11ECDSDSTA16CSD39,900원​ ​STCO & TWODONGSUB COLLABOLATION2022 에스티코 주우재 패션 화보에서는 에스티코와 투동섭 작가님이 함께한콜라보레이션 티셔츠 셔츠 콜렉션도 만나보실 수 있는데요.투동섭 작가님은 2022년 하늘부터 바다까지 지구를 둘러싼 공간을 주제로다양한 작품을 선보이고 있다고 해요.​특히 이번 콜렉션에서는 SPACE TRAVEL, WEEKEND FARMERS, SAVE THE OCEAN세 가지 아트웍을 키치하게 녹여냈다고 하네요!ㅎㅎ 티셔츠와 셔츠 하나하나 다 너무 예쁘죠ㅠㅠ일러스트레이터 TWODONGSU님의 작품이 아기자기하게 티셔츠 곳곳에 들어가있는데정말 하나도 빠짐없이 다 사고 싶더라구요...​특히 SAVE THE OCEAN 티셔츠는 플라스틱 재생섬유로 만들어해양 환경 보호에도 기여할 수 있다니 더욱 제 구매욕구를 자극하는 제품이었어요!!ㅎㅎ 색감도 올 여름 트렌드 컬러인 비비드한 색으로 너무 잘나옴!얼굴도 형광등 딱 켜진 너낌 어떤 코디와 매치해도 다 잘 어울릴 것 같지만 전 주우재님이 착용하신 것처럼캡모자 하나를 딱 얹어주면 꾸러기 같으면서도 멋스럽게 입을 수 있을 것 같아요!​  ​ STCO S/S 투동섭 콜라보 티셔츠 & 셔츠​​ ​요 셔츠도 제 원픽 중 하나인데주우재패션이라 그런지 깔끔하면서도 키치한 모습이 정말 제 이상형이네요..ㅠ꽃 옆에 서 있어도 전혀 안밀리는 아우라를 보면화사한 여름에 야외활동하면서 입으면 정말 딱일 것 같아요.​ 짜잔! 뒤에도 이렇게 투동섭 작가님의 작품들이 들어가 있어 심심하지 않아요.개인적으로 반전 매력이 있는 티들을 좋아하는데이번에 보여진 제품들은 평범하지 않게 하나씩 포인트가 있어서일상 생활속에서 고민하지 않고 꺼내입기 좋을 것 같아요ㅎㅎ​ 오늘은 남자하객룩으로 제격인 에스티코와 주우재님의 화보를 만나보았는데요.코디 하나하나에 신경 쓴듯 안쓴듯 한 매력을 뽐내고 싶을 때!더위를 피할 여름오피스룩으로 한벌 장만해보시는 것은 어떨까요?​온라인으로 구경가기​​​  ​ "
16,마약팬츠 비조4부반바지 스판짱짱 완젼편해요 77까지ok,https://cafe.naver.com/hotdealcommunity/1966518?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImhvdGRlYWxjb21tdW5pdHkiLCJhcnRpY2xlSWQiOjE5NjY1MTgsImlzc3VlZEF0IjoxNjU0NTI3OTYwNDUzfQ.F1ZBKIF6KlzFb1lWm7JaIRKT0CGMx3a-OJj3F-hoEQE,-
17,간빠레 썸머쿨 남성 반밴딩 스판 린넨 카고 조거팬츠 (추측),https://blog.naver.com/ffqts65y/222761593333,"간빠레 썸머쿨 남성 반밴딩 스판 린넨 카고 조거팬츠 (추측)34,700원자세히 보러 가기여러분들도 반드시 놓치지말도록 해요^^~본 소개글은 쿠팡 파트너스 활동의 일환으로 이에 따른 소정의 수수료 이득을 지급 받습니다."
18,데일트 남자 빅사이즈 아이스 밴딩 스판 여름 카고 조거팬츠 리뷰 남성용 스판 허리 밴.,https://blog.naver.com/ioiuehjsv/222761586073,"​​ ​​데일트 남자 빅사이즈 아이스 밴딩 스판 여름 카고   조거팬츠​  59,800원   58%24,800원​  ​​ ​​남성용 스판 허리 밴딩 카고 조거팬츠​   15%24,300원​  ​​ ​​소년마켓 쿨 만능 조거팬츠​   20,800원​  ​​ ​​SMOPIG 남자 조거팬츠​   68%15,800원​  ​​ ​​[NC서면] 플레이키즈프로 -주니어- 컨버스 겨울신상 컨버스   하이라이즈 CTP팬츠 -플리스 소재의 조거팬츠~ 밑단밴딩으로 편안한 활동성을 준 제품~​  49,000원   2%48,000원​  ​ "
19,프로젝트M EPC2PP1800A 모던 쿨텐션 릴렉스핏 풀밴딩 트리코트 스판 팬츠 좋습니다,https://blog.naver.com/greenrabbit587/222761525990,"프로젝트M EPC2PP1800A 모던 쿨텐션 릴렉스핏 풀밴딩 트리코트 스판 팬츠 좋습니다 23,100원 여기를 클릭하면 상세리뷰로 이동 본 포스팅은 2022-06-06 오후 1:51:04 기준으로, 금액이 변동될 수 있습니다. 읽어주셔서 감사합니다. 해당 게시글은 파트너스 활동의 일환으로, 이에 따른 소정의 수수료를 얻고 있습니다. "
20,썸머 쿨 스판팬츠❤정말 편하게 올 여름 교복처럼 입으실거에요!!재구매도 정말 많으세요!!오늘 공구 최종...,https://blog.naver.com/kissme_40/222760720666,썸머 쿨 스판팬츠❤정말 편하게 올 여름 교복처럼 입으실거에요!!재구매도 정말 많으세요!!오늘 공구 최종 마감해요!!​​​   https://blog.naver.com/kissme_40/222736053737 썸머 쿨 스판 팬츠❤올 여름 완전 편하게 입을수 있는 썸머 팬츠 데려왔어요!!컬러도 예쁘고 편한 팬츠 쟁여놓으세요!썸머 쿨 스판 팬츠❤올 여름 완전 편하게 입을수 있는 썸머 팬츠 데려왔어요!!컬러도 예쁘고 편한 팬츠 쟁...blog.naver.com ​ 
21,"몽클레어, 노비스 바람막이, 몽클레어 반바지, 나이키 테크팩 , 디스퀘어드 돌체앤가바나 올세인츠 청바지 데님 모자 판매합니다.",https://cafe.naver.com/joonggonara/921544822?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo5MjE1NDQ4MjIsImlzc3VlZEF0IjoxNjU0NTI3OTYwNDU1fQ.rh8h1JVcMV8LrwvmbH6I35IiJ9OjjQUa10tntlmpEos,-
22,바스락팬츠+유넥티,https://blog.naver.com/90216053/222761490479,"구매 전 공지 : ★ 필독 ★주문 전 꼭 필독해 주셔야 합니다!읽지 않고 주문하신 분들은 꺌랑에서 책임지지 않습니다​​​​​꺌랑 CS 게시판​http://calin0928.shop.blogpay.co.kr/orderview/login/로그인 후 (비회원은 주문조회후) 좌측상단 3선≡ 클릭후 1:1문의글 작성★ 유선상으로 변경,취소 불가하며, 3시간 이내로 게시판 접수건만 처리 가능합니다^^​​​​​​​​​​**결제창이 다른 옵션의 경우는 CS변경이 되지 않는 부분입니다**이럴 경우에는 변경하실 내역으로 새로 주문하신 뒤 이전주문 취소요청글을 게시판에 주문서기준 3시간이내로 남겨주셔야하는 점 안내드립니다 ​무통장입금시 계좌번호 : 국민은행 42750104131292 (주)꺌랑 무통장 입금기한​오전주문건은 당일 7일 오후2시,오후 주문건은 다음날 8 오전11시이후 입금건은 주문서 자동취소되심을 안내드려요​​​주문 완료된 고객님들의 상품은오더 메이드 제품으로 주문 후변경 및 환불 절대 불가합니다. ​​​​[ 주문완료된 고객님들의 신발은 실시간으로 공장에 오더넣어 바로제작에 들어갑니다. ]​​​▶ 주문후 3시간내로 cs게시판에 접수된 사이즈 및 컬러 변경 접수건은 변경 가능하나 그 이후 접수건은 변경 불가 하니 결제전 확인후 결제 부탁드립니다.​▶ 무통장입금시 주문서 작성란에 입금자명과 동일한 이름이어야 입금매칭 되어 주문이 완료됩니다.​▶ 무통장 주문시 동명이인이 많으신 분들은 이체시 성함뒤에 연락처 뒷자리 함께 작성해 주시거나,QnA 게시판에 입금시간 작성해 주시면 입금확인 되어 주문서 정상처리 됩니다.​▶ 무통장입금시 다른 계좌로 입금 하시는 분들은 제품이 늦게 출고됩니다.​▶ 주문서가 누락되신 분들은 수기주문서로 작성되어 제품이 늦게 출고됩니다.​▶ 컬러, 사이즈 다시한번 확인하시고 신중한 구매 부탁드립니다.​▶ 주문서 작성시 성함, 연락처, 배송받으실 주소 정확하게 작성 부탁드립니다.​▶ 주문서가 누락되신 분들은 추후 블로그 및 인스타에 공지되니 추후 확인 부탁드립니다.​▶ 주문이 완료된 후 제품 변경이 불가하니 결제 전 꼼꼼히 확인하신 후 결제 부탁드립니다.​​​​​​결제전 선공지 드린 사항에 구매자 동의 후 결제진행되니 꼭 공지사항 숙지 후 신중구매 부탁드립니다.​​​결제전 선공지 드린 사항에 구매자 동의 후 결제진행되니 꼭 공지사항 숙지 후 신중구매 부탁드립니다.​꺌랑은 온라인쇼핑몰이 아닌 선주문 후제작하는 1:1 오더메이드 시스템입니다.주문 후 주문취소나 수령후 컬러교환, 사이즈교환 및 환불, 반품이 불가하니 신중구매 부탁드립니다.​​​​​제품에 관한 모든 문의는 꺌랑 1:1 문의 cs 게시판을 통해서만 처리가능합니다.중복처리 및 원활한 업무진행을 위해 인스타 댓글 및 DM 으로 문의주시는 건들은 도움드릴 수 없습니다.궁금사항/배송문의/누락부분/교환부분 중복우려있으니 개인문자 카톡 다이렉트 모두 처리되지않습니다.꼭 정식 CS게시판을 통해 접수된 건들만 처리해드리고 있습니다.꺌랑 cs 게시판으로 문의 주세요.​꺌랑 cs 게시판꺌랑 cs 게시판꺌랑 cs 게시판꺌랑 cs 게시판​http://calin0928.shop.blogpay.co.kr/orderview/login/​​​​★★ 출고기간안내 ★★출고시작: 7/6일발송기간 제외 7-10일 소요​​​​​​​출고 날짜 확인하신 후, 이사 예정이나 여행 예정 있으신 분들은 선출고 및 부분 출고가 불가하니 신중 ​구매 부탁드립니다.오픈당일 동시주문자와 동시결제로 확보된 부자재 이상의 주문서가 접수되었을경우, 출고일이 변동될 수 있으며, 공장 및 택배사 사정에 따라 변동될 수 있습니다.이점 양해 부탁드립니다.출고가 시작되면 cj 대한통운에서 주문 시 연락처로출고 문자가 발송됩니다.​정확한 상세 현황은 cj 대한통운 어플이나, 스마트 택배 어플에 주문 시 연락처 동기화해 놓으시면 실시간 조회 가능합니다.송장 출력은 일괄 출력되기 때문에, 출력 후 일정 기간 배송이 없을 시 고객님들의 아플 상에서는 사라질 수 있으나, 저희 쪽 전산에는 보존되어 있으니 걱정하지 않으셔도 됩니다.출고 후 기사님이 송장 스캔 하시면 다시​동일한 정보로 자동 등록됩니다.​​​​​★★ 불량제품 교환안내 ★★​제품을 수령하신 날부터 5일 내로 CS QnA 게시판을 통해 접수해주신 불량 교환 건만 교환 진행 가능합니다.​미착용 제품 또한 수령하신 날부터 7일 내로 접수하셔야 교환이 가능하며, 시일이 경과되면 교환,환불 불가합니다.​초기 불량제품을 미쳐 확인하지 못한 채 착용하신 경우라도 외부 착용한 제품은 교환,환불 절대 불가합니다.​초기 불량제품을 미쳐 확인하지 못한 채 세탁하신 경우라도 세탁한 제품은 교환,환불 절대 불가합니다.​초기 불량제품을 미쳐 확인하지 못한 채 택을 제거하신 제품은 교환,환불 절대 불가합니다.꼭 착용 및 세탁 전애 ​꼼꼼히 확인하시고 착용 부탁드립니다.​초기 불량일 경우(공지드린 불량내용) 착용 및 세탁하지 않으시고 기간 내에 신청하신다면 100번이든 ​200번이든 해드립니다. ​​불량으로 인해 회수된 제품을 수령하셨을 때 포장한 상태 그대로 (함께 제공되는 구성품은 제품의 일부입니다) 이중포장하여 보내주셔야 합니다.오배송 및 교환 제품 회수시 포장상태가 불량이면 교환이 절대 불가합니다.불량으로 인한 교환은 가능하나 환불은 불가합니다​교환 접수 후 공장에 새 제품으로 신규 오더가 들어가는 과정에 의해 새 제품 수령일 평일기준 (7일~10일) 이 조금 지연되는 점 양해 부탁드립니다.)​​​바느질 재봉 부분의 땀수 (한 땀 한 땀이 다를 경우) 및 박음질 라인이 일정하지 않는 것은 불량 사유가 되지 않습니다.재단 및 재봉 부분 실밥은 셀프 커팅이 가능하므로, 불량 사유가 되지 않습니다.미세한 원단 스크래치는 불량 사유가 되지 않습니다.피부에 닿는 안쪽 원단 재봉 부분 실밥은 셀프 커팅이 가능하므로, 불량 사유가 되지 않습니다.배송 중에 생기는 구김 현상은 불량 사유가 되지 않습니다.사이즈는 측정 방법에 따라 약간씩 차이가 있을 수 있으므로 1~2cm 정도의 차이는 불량 사유가 되지 않습니다. 외부 착용 및 잘못된 세탁법으로 발생된 불량은 불량 사유가 되지 않습니다.물 빠짐은 있을 수 있으며 (세탁도 동일) 이는 불량 사유가 되지 않습니다.해상도에 따라 컬러가 다를 수 있으며 이는 불량 사유가 되지 않습니다. ​불량으로 인한 제품은 교환은 가능하나 환불은 절대 불가 합니다​​​cs 게시판 불량 접수시 꼭 포함되어야 할 내용​cs게시판에 주문시 성함, 연락처, 불량제품명과 사유, 불량부분 사진 과 함께 새글로 작성해 주시면저희 직원들이 처리해 드립니다.​​​​​​​​​​​유넥티단품 39,000원3세트구성- 114,000원4세트구성- 149,000원5세트구성- 18만원8세트 올세트구성- 282,000원​10만원 이상 무료배송제주도및 도서산간지역 추가비용3000원 발생​FABRIC코튼65 폴리에스테르 35 ​8COLOR아이,노랑,그린,핑크,보라,브라운,네이비,블랙​​​​​COMMENT프리미엄 컴팩사를 사용하여 보풀이 잘 생기지 않는 장점과, 먼지가 잘 나지 않아 내구성에 탁월한 u넥티입니다실켓 워싱 컴팩가공까지 하여 마치 다림질 한것같이 원단 표면이 빳빳하게 펴져 표면이 깨끗하고, 형태변형이 거의 일어나지 않는 고급스러운 프리미엄 원단이예요​퉁 하고 툭 떨어지는 기본 티셔츠가 아니라입었을때 자연스럽게 라인이 잡히는 디자인이고패턴 자체가 입체패턴이라 더 예쁘답니다​​​​​​​​​ ​​​키168 상의55 하의 66골반이 있고 힙이 있는 체형​S착용 ​​노랑 ​​​그린 ​​​​핑크 ​​​​보라 ​​​​브라운 ​​​​네이비 ​​​블랙 ​​​미듐 착용 ​​​​키 164 55사이즈 마른체형​아이 ​​노랑 ​​​핑크 ​​​키 165,46kgS착용 ​​​​​​​​​바스락 팬츠53,000원3장구성- 155,000원 4장구성- 205,000원올세트구성 6컬러- 293,000원​10만원 이상 무료배송제주도및 도서산간지역 추가비용3000원 발생​​​​FABRIC나일론 97% 스판 3%입니다.​​​​SIZE INFO ​6 COLOR아이,민트,베이지,카키,네이비,블랙​​​​​​COMMENT​원단의 장점으로 보풀걱정 없고 구김걱정 없고 다리를 꼬우거나 장시간 의자에 앉으면구겨있던 원단이 시간속에서 금방 자연스럽게 펴지고 쿨 원단으로 시원해서 몸에 달라붙지도 않고 스판성도 아주좋아 마술같아요하루종일 걷고 앉고 미팅하고 나와서 찍은 리얼사진에 구김정도 사진으로 확인 되시죠?그런데 단점은 걸을때 마다 사각사각 바스락 소리가 난다는 점인데여 그게또 그렇게 거슬리거든요장점은 살리고 거슬리지 않게 걸을때 신경쓰이는 소리는 손으로 쎄게 원단을 서로 접촉해 비벼서 일부러 소리를 내는거 아니면 절대 거슬릴 정도의 소리 아니니까 걱정 딱 넣어두세요아주 편안한 차림에 입어도 촌스럽지 않고 스타일 살아나게 입으실수 있어요 자연스러운 멋 아주 딱 좋아요어떤코디에도 너무 잘 어울리는 그런 바지 입니다더 놀란건 장시간 야외촬영에도 구김정도가 정말 감동 이였습니다꼭 추천 드리는 팬츠 놓치지 마세요​​​아이 바스락팬츠는 화이트계열 컬러이다보니비침은 어느정도 있다는거 알아주세요스킨컬러 속옷을 입어주셔야하고​하의66사이즈 모델은 그레이 속옷 착용 후촬영한 사진이니 잘 보아주세요 :)  아이,민트,베이지,카키,네이비,블랙​​​​​키168 상의55 하의 66골반이 있고 힙이 있는 체형S착용​아이 ​​​​민트 ​​​베이지 ​​​카키 ​​​​네이비 ​​​블랙 네이비 블랙 비교​​​키164 55사이즈 마른체형S착용​​​​아이 ​​​민트 베이지 카키 네이비 ​​블랙 ​​​​​​​지난 시즌 다양한 코디 사진​​키 158 44~55 사이즈 피팅컷​ ​​​​​​​키173 55사이즈 착용컷 ​​​​​​키: 173 몸무게: 88 기본입는 사이즈 88~99사이업사이즈  착용 ​​​​임신 5개월 착용컷 ​​​​다양한 코디샷사진에 있는 색상은 지난 색상으로 핏과 코디 컷만참고 해주세요^^ ​​남자분들도 멋지게 입으실수 있어요 "
23,남성 브랜드 중고의류/ 32~33인치 청바지 모음입니다.,https://cafe.naver.com/joonggonara/921541387?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo5MjE1NDEzODcsImlzc3VlZEF0IjoxNjU0NTI3OTYwNDU2fQ._oxM8_8iWBLxkqCfUGWaOp7izhkcuof5foDTQfe3Wmo,-
24,남성용 노턱 쿨 면스판 골프 팬츠 COSW215 굳굳,https://blog.naver.com/lazyelephant602/222761468948,"남성용 노턱 쿨 면스판 골프 팬츠 COSW215 굳굳 39,800원 <<자세히 더 알아보기>> 본 포스팅은 2022-06-06 오후 12:43:19 기준으로, 금액이 변동될 수 있습니다. 봐주셔서 감사합니다. 지금 씌여진 포스팅 게시글은 제휴활동을 통해 작성되었으며, 이에 따른 일정액의 수수료를 제공받고 있습니다. "
25,점프키즈 여름용 쿨냉/ 발수/ 사방스판 주니어... 남아 트레이닝 팬츠 냉장고바지 쿨바지 여름바지 추앙해요,https://blog.naver.com/lazykoala332/222761426547,"점프키즈 여름용  쿨냉/ 발수/ 사방스판  주니어 아이스 조거팬츠 - 초등 주니어 남아 트레이닝 팬츠 냉장고바지 쿨바지 여름바지 추앙해요 19,800원 여기를 클릭하면 리뷰로 이동 본 포스팅은 2022-06-06 오전 11:55:13 기준으로, 금액이 변동될 수 있습니다. 읽어주셔서 감사합니다. 지금 보고계신 활동글은 파트너스 활동의 일환으로써 소정의 커미션을 지급받을 수 있어요^0^ "
